Entry	Mass	Gene Names (ordered locus)	Subunit structure	Subcellular location [CC]
P05852	36008	b3064 JW3036	SUBUNIT: Homodimer. Interacts with TsaB; may form a heterodimer with TsaB. Also interacts with TsaC. {ECO:0000269|PubMed:19376873, ECO:0000269|PubMed:20701780, ECO:0000269|PubMed:21285948, ECO:0000269|PubMed:22378793}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01445, ECO:0000269|PubMed:19376873}.
P06129	68407	b3966 JW3938	SUBUNIT: Interacts with TonB. {ECO:0000269|PubMed:10485884, ECO:0000269|PubMed:14528295}.; SUBUNIT: (Microbial infection) The hairpin motif of the receptor-binding domain of colicin E3 (ColE3) interacts with BtuB without displacing BtuB's central plug (PubMed:14528295). An N-terminal fragment of E3 binds OmpF; trimeric complexes with ColE3, BtuB and OmpF can be cross-linked and immunoprecipitated (PubMed:18636093). {ECO:0000269|PubMed:14528295, ECO:0000269|PubMed:18636093}.	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000255|HAMAP-Rule:MF_01531, ECO:0000269|PubMed:12595710, ECO:0000269|PubMed:12652322, ECO:0000269|PubMed:2687240, ECO:0000269|PubMed:2982793}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01531, ECO:0000269|PubMed:12595710, ECO:0000269|PubMed:12652322, ECO:0000269|PubMed:2687240, ECO:0000269|PubMed:2982793}.
P06134	39324	b2213 JW2201		
P06136	31434	b0093 JW0091	SUBUNIT: Part of a complex composed of FtsB, FtsL and FtsQ. The complex can be formed before its localization to the division site. This tripartite complex can be divided further into a subcomplex of FtsB and FtsL, which forms in the absence of FtsQ. Interacts with FtsA, FtsK, FtsL, FtsB, FtsW, FtsI, FtsN, FtsX and YmgF. {ECO:0000255|HAMAP-Rule:MF_00911, ECO:0000269|PubMed:15165235, ECO:0000269|PubMed:15774864, ECO:0000269|PubMed:17185541, ECO:0000269|PubMed:19233928}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00911, ECO:0000269|PubMed:11415986, ECO:0000269|PubMed:11703663, ECO:0000269|PubMed:11948172, ECO:0000269|PubMed:15165235, ECO:0000269|PubMed:17693520, ECO:0000269|PubMed:2007547, ECO:0000269|PubMed:9829918, ECO:0000269|PubMed:9882666}; Single-pass type II membrane protein {ECO:0000255|HAMAP-Rule:MF_00911, ECO:0000269|PubMed:11415986, ECO:0000269|PubMed:11703663, ECO:0000269|PubMed:11948172, ECO:0000269|PubMed:15165235, ECO:0000269|PubMed:17693520, ECO:0000269|PubMed:2007547, ECO:0000269|PubMed:9829918, ECO:0000269|PubMed:9882666}. Note=Localizes to the division septum. Localization requires FtsZ, FtsA, ZipA and FtsK, but not FtsL, FtsI and FtsN. Insertion into the membrane requires YidC and the Sec translocase.
P06149	64612	b2133 JW2121		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_02092, ECO:0000269|PubMed:1092688, ECO:0000269|PubMed:4575624, ECO:0000269|PubMed:4582730}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_02092, ECO:0000269|PubMed:1092688}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_02092, ECO:0000269|PubMed:1092688}. Note=May bind the membrane through electrostatic rather than hydrophobic forces. {ECO:0000305|PubMed:10944213}.
P06609	34949	b1711 JW1701	SUBUNIT: The complex is composed of two ATP-binding proteins (BtuD), two transmembrane proteins (BtuC) and a solute-binding protein (BtuF). {ECO:0000269|PubMed:12004122}.	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P06611	27081	b1709 JW1699	SUBUNIT: The complex is composed of two ATP-binding proteins (BtuD), two transmembrane proteins (BtuC) and a solute-binding protein (BtuF). {ECO:0000255|HAMAP-Rule:MF_01005, ECO:0000269|PubMed:12004122}.	SUBCELLULAR LOCATION: Cell inner membrane; Peripheral membrane protein.
P06612	97350	b1274 JW1266	SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_00952, ECO:0000269|PubMed:14604525, ECO:0000269|PubMed:21482796}.	
P06616	33810	b2566 JW2550	SUBUNIT: Monomer. Binds both 16S rRNA and 30S ribosomal subunits; binding is inhibited by GDP and GTP (PubMed:10094501). Bind preferentially to mature 30S ribosomal subunits over immature subunits in the presence of GMP-PNP (PubMed:27382067). Binds to MazG; GDP-bound Era binds more tightly to MazG than GTP-bound Era (PubMed:19706445). {ECO:0000269|PubMed:10094501, ECO:0000269|PubMed:19706445}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:8282709}. Cell inner membrane {ECO:0000269|PubMed:8282709}; Peripheral membrane protein {ECO:0000269|PubMed:8282709}; Cytoplasmic side {ECO:0000269|PubMed:8282709}. Note=Binding is GDP or GTP-dependent, slightly more protein is bound in the presence of GTP than GDP.
P06709	35312	b3973 JW3941	SUBUNIT: Monomer in solution. Interacts with BCCP. Homodimerizes to bind DNA. Interaction with the corepressor bio-5'-AMP increases dimerization. {ECO:0000269|PubMed:11353844, ECO:0000269|PubMed:12527300, ECO:0000269|PubMed:1409631, ECO:0000269|PubMed:16438984, ECO:0000269|PubMed:23896299, ECO:0000269|PubMed:6129246}.	
P06710	71138	b0470 JW0459	SUBUNIT: The DNA polymerase III holoenzyme complex contains at least 10 different subunits organized into 3 functionally essential subassemblies: the Pol III core, the beta sliding clamp processivity factor and the clamp-loading complex. The Pol III core (subunits alpha, epsilon and theta) contains the polymerase and the 3'-5' exonuclease proofreading activities (PubMed:2040637). The polymerase is tethered to the template via the dimeric beta sliding clamp processivity factor. The clamp-loading complex (also called gamma complex) assembles the beta sliding clamp onto the primed template and plays a central role in the organization and communication at the replication fork. The clamp-loading complex contains delta, delta', psi and chi, and 3 copies of either or both of two different DnaX proteins, gamma and tau. The DNA replisome complex has a single clamp loader (3 tau and 1 each of delta, delta', psi and chi subunits) which binds 3 Pol III cores (1 core on the leading strand and 2 on the lagging strand) each with a beta sliding clamp dimer. Additional proteins in the replisome are other copies of gamma, psi and chi, Ssb, DNA helicase and RNA primase (PubMed:20413500, PubMed:22157955). The clamp loader hydrolyzes ATP to assemble the beta processivity factor onto the primed template (PubMed:2040637, PubMed:9927437) and plays a central role in the organization and communication at the replication fork; the minimal complex to load the beta sliding clamp on DNA is delta, delta', gamma (PubMed:9927437). {ECO:0000269|PubMed:11525729, ECO:0000269|PubMed:2040637, ECO:0000269|PubMed:20413500, ECO:0000269|PubMed:22157955, ECO:0000269|PubMed:9927437}.	
P06715	48773	b3500 JW3467	SUBUNIT: Homodimer.	SUBCELLULAR LOCATION: Cytoplasm.
P06721	43212	b3008 JW2975	SUBUNIT: Homotetramer; dimer of dimers. {ECO:0000269|PubMed:8831789}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P06722	25527	b2831 JW2799		SUBCELLULAR LOCATION: Cytoplasm.
P06959	66096	b0115 JW0111	SUBUNIT: Forms a 24-polypeptide structural core with octahedral symmetry.	
P06960	36827	b0273 JW0266	SUBUNIT: In E.coli strain K12, trimer of identical or non-identical chains are composed of ArgI (I) and/or ArgF (F). The trimer has the following composition: FFI, FFF, FII, III. E.coli strains B and W, which are known to contain only ArgI, produce only a trimer of identical chains (III). {ECO:0000269|PubMed:4558857, ECO:0000269|PubMed:789338}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P06961	46467	b3056 JW3028	SUBUNIT: Monomer. Can also form homodimers and oligomers, but with low levels. {ECO:0000269|PubMed:15210699}.	
P06968	16287	b3640 JW3615	SUBUNIT: Homotrimer. {ECO:0000269|PubMed:1311056, ECO:0000269|PubMed:15208312, ECO:0000269|PubMed:9261872}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:1311056, ECO:0000305|PubMed:9261872}.
P06971	82182	b0150 JW0146	SUBUNIT: Monomer (PubMed:8916906, PubMed:9856937, PubMed:9865695, PubMed:36215462, PubMed:36779755). Interacts with TonB (PubMed:12427941, PubMed:18653801, PubMed:9353297). Interacts with Escherichia phage T5 receptor-binding protein pb5 (RBP-pb5); this interaction is necessary for the entry of the viral genome into the host cell (PubMed:36215462, PubMed:36779755). {ECO:0000269|PubMed:12427941, ECO:0000269|PubMed:18653801, ECO:0000269|PubMed:36215462, ECO:0000269|PubMed:36779755, ECO:0000269|PubMed:8916906, ECO:0000269|PubMed:9353297, ECO:0000269|PubMed:9856937, ECO:0000269|PubMed:9865695}.	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:2066336, ECO:0000269|PubMed:8916906, ECO:0000269|PubMed:9856937, ECO:0000269|PubMed:9865695}; Multi-pass membrane protein {ECO:0000269|PubMed:9856937, ECO:0000269|PubMed:9865695}.
P06972	70423	b0153 JW0149	SUBUNIT: The complex is composed of two ATP-binding proteins (FhuC), a transmembrane protein (FhuB) and a solute-binding protein (FhuD) (PubMed:34887516). FhuB interacts with FhuC (PubMed:1551849). FhuB interacts with FhuD (PubMed:8522527, PubMed:9426146, PubMed:34887516). FhuB binds substrate-loaded FhuD more strongly than FhuD alone (PubMed:34887516). {ECO:0000269|PubMed:1551849, ECO:0000269|PubMed:34887516, ECO:0000269|PubMed:8522527, ECO:0000269|PubMed:9426146}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255, ECO:0000269|PubMed:15919996}.
P06974	37849	b1945 JW1929	SUBUNIT: Interacts with flagellar brake protein YcgR. {ECO:0000269|PubMed:20346719}.	SUBCELLULAR LOCATION: Cell inner membrane; Peripheral membrane protein. Bacterial flagellum basal body.
P06983	33852	b3805 JW5932	SUBUNIT: Monomer. {ECO:0000269|PubMed:3529035}.	
P06988	46110	b2020 JW2002	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01024}.	
P06992	30420	b0051 JW0050		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P06993	103118	b3418 JW3381	SUBUNIT: Monomer in solution (PubMed:3305511, PubMed:10559195). Oligomerizes to an active state in the presence of the positive effectors ATP and maltotriose (PubMed:10559195). Interacts with MalY, MalK and Aes, all of which negatively regulate MalT activity by antagonizing maltotriose binding (PubMed:9822819, PubMed:10692154, PubMed:11867639). {ECO:0000269|PubMed:10559195, ECO:0000269|PubMed:10692154, ECO:0000269|PubMed:11867639, ECO:0000269|PubMed:3305511, ECO:0000269|PubMed:9822819}.	
P06996	40368	b2215 JW2203	SUBUNIT: Homotrimer (PubMed:2464593, PubMed:16949612). Forms mixed heterotrimers with OmpF and with PhoE; other mixed heterotrimers are also probable (PubMed:2464593). {ECO:0000269|PubMed:16949612, ECO:0000269|PubMed:2464593}.	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:2464593}; Multi-pass membrane protein {ECO:0000269|PubMed:16949612}.
P06999	32456	b1723 JW5280	SUBUNIT: Homodimer. {ECO:0000269|PubMed:18762190, ECO:0000269|PubMed:21147773, ECO:0000269|PubMed:23823238, ECO:0000269|Ref.10, ECO:0000269|Ref.11}.	
P07001	54623	b1603 JW1595	SUBUNIT: Heterodimer of an alpha (PntA) and a beta (PntB) chain. Alpha subunit serves as the dimerization unit. {ECO:0000269|PubMed:16083909, ECO:0000269|Ref.9}.	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P07003	62011	b0871 JW0855	SUBUNIT: Homotetramer. {ECO:0000255|HAMAP-Rule:MF_00850, ECO:0000269|PubMed:18988747, ECO:0000269|PubMed:6752142, ECO:0000305|PubMed:5336022}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00850, ECO:0000269|PubMed:365232, ECO:0000305|PubMed:5336022}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_00850, ECO:0000269|PubMed:365232, ECO:0000305|PubMed:5336022}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_00850, ECO:0000269|PubMed:365232}.
P07004	44630	b0243 JW0233	SUBUNIT: Homodimer (Probable). May form a complex with glutamate 5-kinase (proB). {ECO:0000269|PubMed:6319365, ECO:0000269|PubMed:7035170, ECO:0000305}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00412}.
P07012	41251	b2891 JW5847	SUBUNIT: Interacts with the ribosome (PubMed:22857598, PubMed:22922063, PubMed:25355516, PubMed:12511960, PubMed:12511961). Recruited to stalled ribosomes by ArfA, in the presence of truncated mRNA, ArfA influences RF2 conformation so RF2 can hydrolyze the peptidyl-tRNA bond (PubMed:27906160, PubMed:27906161, PubMed:27934701, PubMed:28077875). Biotinylated tnaC mRNA can be detected in a stalled 70S ribosome-RF2-TnaC-tRNA(Pro) complex (PubMed:34504068). {ECO:0000269|PubMed:12511960, ECO:0000269|PubMed:12511961, ECO:0000269|PubMed:22857598, ECO:0000269|PubMed:22922063, ECO:0000269|PubMed:25355516, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:28077875, ECO:0000269|PubMed:34504068}.	SUBCELLULAR LOCATION: Cytoplasm. Note=Recruited to the 70S ribosome by ArfA even in the absence of mRNA (PubMed:22922063, PubMed:25355516, PubMed:27934701). {ECO:0000269|PubMed:22922063, ECO:0000269|PubMed:25355516, ECO:0000269|PubMed:27934701}.
P07013	11442	b4201 JW4159	SUBUNIT: Component of the preprimosomal complex composed of one monomer of PriC and DnaT, two monomers of PriA, two dimers of PriB and one hexamer of DnaB. Upon transient interaction with DnaG it forms the primosome. {ECO:0000255|HAMAP-Rule:MF_00720, ECO:0000269|PubMed:8663106}.	
P07014	26770	b0724 JW0714	SUBUNIT: Part of an enzyme complex containing four subunits: a flavoprotein, an iron-sulfur, cytochrome b-556, and a hydrophobic anchor protein. The complex forms trimers. {ECO:0000269|PubMed:12560550, ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:16407191, ECO:0000269|PubMed:19710024}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:16079137}; Peripheral membrane protein {ECO:0000269|PubMed:16079137}.
P07017	59944	b1886 JW1875		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:22380631}; Multi-pass membrane protein {ECO:0000269|PubMed:22380631}. Note=Found predominantly at cell poles.
P07024	60824	b0480 JW0469	SUBUNIT: Monomer. {ECO:0000269|PubMed:11491293, ECO:0000269|PubMed:11491294}.	SUBCELLULAR LOCATION: Periplasm. Note=Exported from the cell, except a small proportion that is internally localized.
P07102	47057	b0980 JW0963	SUBUNIT: Monomer. {ECO:0000269|PubMed:10655611, ECO:0000269|PubMed:6282821, ECO:0000269|PubMed:8387749, ECO:0000269|Ref.8}.	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:10696472, ECO:0000269|PubMed:1429631, ECO:0000269|PubMed:8387749, ECO:0000269|PubMed:8407904}.
P07117	54344	b1015 JW1001	SUBUNIT: Has been isolated from inner membrane preparations as a homodimer. {ECO:0000269|PubMed:16079137}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:3007935, ECO:0000269|PubMed:3512540, ECO:0000269|PubMed:3902503, ECO:0000269|PubMed:9756872}; Multi-pass membrane protein {ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:9756872}.
P07118	108192	b4258 JW4215	SUBUNIT: Monomer.	SUBCELLULAR LOCATION: Cytoplasm.
P07330	37468	b1883 JW1872	SUBUNIT: Interacts with CheA (PubMed:7578071). Binds to a C-terminal pentapeptide sequence carried by certain receptors (PubMed:16573695). {ECO:0000269|PubMed:16573695, ECO:0000269|PubMed:7578071}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00099, ECO:0000269|PubMed:358191}.
P07363	71382	b1888 JW1877	SUBUNIT: An in vitro complex of CheW/CheA(L)/CheA(S) in a 1:1:1 ratio increases the autophosphorylation of CheA and is required for the binding of CheY, the phosphorylation substrate. This complex accounts for 10% of the total number of molecules. {ECO:0000269|PubMed:2068106}.	SUBCELLULAR LOCATION: Cytoplasm.
P07395	87378	b1713 JW1703	SUBUNIT: Tetramer of two alpha and two beta subunits.	SUBCELLULAR LOCATION: Cytoplasm.
P07464	22799	b0342 JW0333	SUBUNIT: Homotrimer. {ECO:0000269|PubMed:11937062, ECO:0000269|PubMed:7592843}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:3922433}.
P07604	57656	b1323 JW1316	SUBUNIT: Homodimer (PubMed:8106498, PubMed:8176727, PubMed:8947567, PubMed:11923293). In presence of tyrosine (or high concentrations of phenylalanine or tryptophan) and ATP, it self-associates to form an hexamer (PubMed:8176727, PubMed:8947567, PubMed:11923293). At low tyrosine concentrations, homodimers can bind to certain recognition sequences referred to as 'strong TyrR boxes' (PubMed:8176727). Homohexamers are the active repressing species, interacting with two or three tyrR boxes in the targeted regulatory DNA, including 'strong TyrR boxes' and lower-affinity sites called 'weak TyrR boxes' (PubMed:8176727). {ECO:0000269|PubMed:11923293, ECO:0000269|PubMed:8106498, ECO:0000269|PubMed:8176727, ECO:0000269|PubMed:8947567}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P07623	35727	b4013 JW3973	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00295, ECO:0000269|PubMed:10572016}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00295, ECO:0000305}.
P07639	38881	b3389 JW3352	SUBUNIT: Monomer. {ECO:0000269|PubMed:2514789}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00110}.
P07648	128848	b2822 JW2790	SUBUNIT: Heterotrimer of RecB, RecC and RecD. All subunits contribute to DNA-binding. Interacts with YgbT (Cas1) (PubMed:21219465). {ECO:0000255|HAMAP-Rule:MF_01486, ECO:0000269|PubMed:15538360, ECO:0000269|PubMed:1618858, ECO:0000269|PubMed:18668125, ECO:0000269|PubMed:21219465, ECO:0000269|PubMed:3526335, ECO:0000269|PubMed:4552016, ECO:0000269|PubMed:9448271}.; SUBUNIT: (Microbial infection) Lambda virus GamS protein interacts with the enzyme without displacing any of the subunits. {ECO:0000269|PubMed:1653221}.	
P07649	30400	b2318 JW2315	SUBUNIT: Homodimer. {ECO:0000269|PubMed:10625422, ECO:0000269|PubMed:17466622}.	
P07658	79374	b4079 JW4040	SUBUNIT: Consists of two separable enzymatic activities: a formate dehydrogenase component (FDH-H) and hydrogenase-3. {ECO:0000269|PubMed:16830149, ECO:0000269|PubMed:9036855}.	
P07821	28886	b0151 JW0147	SUBUNIT: The complex is composed of two ATP-binding proteins (FhuC), a transmembrane protein (FhuB) and a solute-binding protein (FhuD) (PubMed:34887516). FhuC interacts with FhuB (PubMed:1551849). {ECO:0000269|PubMed:1551849, ECO:0000269|PubMed:34887516}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:1551849}; Peripheral membrane protein {ECO:0000269|PubMed:1551849}. Note=FhuB mediates the association of FhuC with the cytoplasmic membrane. {ECO:0000269|PubMed:1551849}.
P07822	32998	b0152 JW0148	SUBUNIT: The complex is composed of two ATP-binding proteins (FhuC), a transmembrane protein (FhuB) and a solute-binding protein (FhuD) (PubMed:34887516). FhuD interacts with FhuB (PubMed:8522527, PubMed:9426146, PubMed:34887516). Substrate-loaded FhuD binds FhuB more strongly than FhuD alone (PubMed:34887516). {ECO:0000269|PubMed:34887516, ECO:0000269|PubMed:8522527, ECO:0000269|PubMed:9426146}.	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:17218314}.
P07862	32840	b0092 JW0090	SUBUNIT: Monomer.	SUBCELLULAR LOCATION: Cytoplasm.
P07913	37239	b3616 JW3591	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:6780553}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00627}.
P08142	60441	b3671 JW3646	SUBUNIT: Dimer of large and small chains.	
P08179	23238	b2500 JW2485	SUBUNIT: Monomer. Homodimer below pH 6.8. {ECO:0000269|PubMed:10606510, ECO:0000269|PubMed:1522592, ECO:0000269|PubMed:1631098, ECO:0000269|PubMed:2185839, ECO:0000269|PubMed:9698564}.	
P08191	31473	b4320 JW4283		SUBCELLULAR LOCATION: Fimbrium {ECO:0000269|PubMed:1971261}.
P08192	45406	b2315 JW2312	SUBUNIT: Monomer. {ECO:0000269|PubMed:2985605}.	
